target,campaign,campaign_label,variant,label,round,repetitions,performance_metric,performance_value,performance_unit,performance_direction,plot_reference,plot_performance_delta_percent,plot_peak_rss_delta_percent,matched_reference,matched_performance_delta_percent,matched_peak_rss_delta_percent,peak_rss_mib,performance_value_median,peak_rss_mib_median,plot_performance_delta_percent_median,plot_peak_rss_delta_percent_median,matched_performance_delta_percent_median,matched_peak_rss_delta_percent_median,source_json_path
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",mimalloc,mimalloc,1,7,wall_time,2.430204469,seconds,lower_is_better,system,1.2943948086520551,130.78124999999997,system,1.2943948086520551,130.78124999999997,11.5390625,2.439229494,11.5390625,1.397461520343657,130.78124999999997,1.397461520343657,130.78124999999997,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",mimalloc,mimalloc,2,7,wall_time,2.446587671,seconds,lower_is_better,system,1.6204725780260665,130.78124999999997,system,1.6204725780260665,130.78124999999997,11.5390625,2.439229494,11.5390625,1.397461520343657,130.78124999999997,1.397461520343657,130.78124999999997,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",mimalloc,mimalloc,3,7,wall_time,2.466331647,seconds,lower_is_better,system,1.2688251877349677,130.78124999999997,system,1.2688251877349677,130.78124999999997,11.5390625,2.439229494,11.5390625,1.397461520343657,130.78124999999997,1.397461520343657,130.78124999999997,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",mimalloc,mimalloc,4,7,wall_time,2.436175732,seconds,lower_is_better,system,1.0661998716362753,130.78124999999997,system,1.0661998716362753,130.78124999999997,11.5390625,2.439229494,11.5390625,1.397461520343657,130.78124999999997,1.397461520343657,130.78124999999997,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",mimalloc,mimalloc,5,7,wall_time,2.428130934,seconds,lower_is_better,system,2.707171698497013,130.703125,system,2.707171698497013,130.703125,11.53515625,2.439229494,11.5390625,1.397461520343657,130.78124999999997,1.397461520343657,130.78124999999997,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",mimalloc,mimalloc,6,7,wall_time,2.439229494,seconds,lower_is_better,system,3.2137993945626775,130.78124999999997,system,3.2137993945626775,130.78124999999997,11.5390625,2.439229494,11.5390625,1.397461520343657,130.78124999999997,1.397461520343657,130.78124999999997,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",mimalloc,mimalloc,7,7,wall_time,2.449976911,seconds,lower_is_better,system,1.397461520343657,130.703125,system,1.397461520343657,130.703125,11.53515625,2.439229494,11.5390625,1.397461520343657,130.78124999999997,1.397461520343657,130.78124999999997,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",tcmalloc,TCMalloc,1,7,wall_time,2.467066861,seconds,lower_is_better,system,2.830871980211125,120.00000000000001,system,2.830871980211125,120.00000000000001,11.0,2.449182899,11.0,1.728266914985177,120.00000000000001,1.728266914985177,120.00000000000001,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",tcmalloc,TCMalloc,2,7,wall_time,2.449182899,seconds,lower_is_better,system,1.728266914985177,120.00000000000001,system,1.728266914985177,120.00000000000001,11.0,2.449182899,11.0,1.728266914985177,120.00000000000001,1.728266914985177,120.00000000000001,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
ripgrep,ripgrep_realworld_single_thread,"Real-world matrix, 1 thread",tcmalloc,TCMalloc,3,7,wall_time,2.458042425,seconds,lower_is_better,system,0.928465538747214,120.00000000000001,system,0.928465538747214,120.00000000000001,11.0,2.449182899,11.0,1.728266914985177,120.00000000000001,1.728266914985177,120.00000000000001,benchmark-results/realworld-rust-allocator-20260714.json#campaigns[app=ripgrep]
