target,campaign,campaign_label,variant,label,round,repetitions,performance_metric,performance_value,performance_unit,performance_direction,plot_reference,plot_performance_delta_percent,plot_peak_rss_delta_percent,matched_reference,matched_performance_delta_percent,matched_peak_rss_delta_percent,peak_rss_mib,performance_value_median,peak_rss_mib_median,plot_performance_delta_percent_median,plot_peak_rss_delta_percent_median,matched_performance_delta_percent_median,matched_peak_rss_delta_percent_median,source_json_path
Rsedis,rsedis_allocator_matrix,Allocator matrix,mimalloc,mimalloc,3,5,throughput,61557.46442243253,requests_per_second,higher_is_better,system_ptmalloc,0.22979973953312083,1285.691699604743,system_ptmalloc,0.22979973953312083,1285.691699604743,68.47265625,62707.46156179185,68.4609375,1.8403506080486354,1229.384965831435,1.8403506080486354,1229.384965831435,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,mimalloc,mimalloc,4,5,throughput,62086.26111393588,requests_per_second,higher_is_better,system_ptmalloc,-2.7312724433064206,1261.4551083591332,system_ptmalloc,-2.7312724433064206,1261.4551083591332,68.7109375,62707.46156179185,68.4609375,1.8403506080486354,1229.384965831435,1.8403506080486354,1229.384965831435,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,mimalloc,mimalloc,5,5,throughput,62906.770551226284,requests_per_second,higher_is_better,system_ptmalloc,2.509723076476078,1216.7543200601053,system_ptmalloc,2.509723076476078,1216.7543200601053,68.4609375,62707.46156179185,68.4609375,1.8403506080486354,1229.384965831435,1.8403506080486354,1229.384965831435,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,tcmalloc,TCMalloc,1,5,throughput,63476.75501464579,requests_per_second,higher_is_better,system_ptmalloc,4.210197624799794,125.58845861807137,system_ptmalloc,4.210197624799794,125.58845861807137,11.60546875,61856.13569486386,11.63671875,-0.2136970133894911,125.58845861807137,-0.2136970133894911,125.58845861807137,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,tcmalloc,TCMalloc,2,5,throughput,61585.946273788904,requests_per_second,higher_is_better,system_ptmalloc,-0.2136970133894911,122.66666666666666,system_ptmalloc,-0.2136970133894911,122.66666666666666,11.7421875,61856.13569486386,11.63671875,-0.2136970133894911,125.58845861807137,-0.2136970133894911,125.58845861807137,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,tcmalloc,TCMalloc,3,5,throughput,61856.13569486386,requests_per_second,higher_is_better,system_ptmalloc,0.7161056994133386,139.84189723320156,system_ptmalloc,0.7161056994133386,139.84189723320156,11.8515625,61856.13569486386,11.63671875,-0.2136970133894911,125.58845861807137,-0.2136970133894911,125.58845861807137,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,tcmalloc,TCMalloc,4,5,throughput,62090.32524000183,requests_per_second,higher_is_better,system_ptmalloc,-2.724905295986335,130.57275541795667,system_ptmalloc,-2.724905295986335,130.57275541795667,11.63671875,61856.13569486386,11.63671875,-0.2136970133894911,125.58845861807137,-0.2136970133894911,125.58845861807137,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,tcmalloc,TCMalloc,5,5,throughput,61083.80319475786,requests_per_second,higher_is_better,system_ptmalloc,-0.46089323797707804,122.16378662659655,system_ptmalloc,-0.46089323797707804,122.16378662659655,11.55078125,61856.13569486386,11.63671875,-0.2136970133894911,125.58845861807137,-0.2136970133894911,125.58845861807137,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,unialloc,UniAlloc,1,5,throughput,62626.14541795224,requests_per_second,higher_is_better,system_ptmalloc,2.8137463702809784,367.4259681093394,system_ptmalloc,2.8137463702809784,367.4259681093394,24.046875,62626.14541795224,24.359375,2.6140566821845512,369.94740796393694,2.6140566821845512,369.94740796393694,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,unialloc,UniAlloc,2,5,throughput,62408.38721793101,requests_per_second,higher_is_better,system_ptmalloc,1.1188852753669876,365.77777777777777,system_ptmalloc,1.1188852753669876,365.77777777777777,24.5625,62626.14541795224,24.359375,2.6140566821845512,369.94740796393694,2.6140566821845512,369.94740796393694,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,unialloc,UniAlloc,3,5,throughput,63021.787530955255,requests_per_second,higher_is_better,system_ptmalloc,2.6140566821845512,381.501976284585,system_ptmalloc,2.6140566821845512,381.501976284585,23.79296875,62626.14541795224,24.359375,2.6140566821845512,369.94740796393694,2.6140566821845512,369.94740796393694,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,unialloc,UniAlloc,4,5,throughput,61957.62569404398,requests_per_second,higher_is_better,system_ptmalloc,-2.9328017895275504,382.6625386996904,system_ptmalloc,-2.9328017895275504,382.6625386996904,24.359375,62626.14541795224,24.359375,2.6140566821845512,369.94740796393694,2.6140566821845512,369.94740796393694,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_allocator_matrix,Allocator matrix,unialloc,UniAlloc,5,5,throughput,63352.65801951096,requests_per_second,higher_is_better,system_ptmalloc,3.236318965863094,369.94740796393694,system_ptmalloc,3.236318965863094,369.94740796393694,24.43359375,62626.14541795224,24.359375,2.6140566821845512,369.94740796393694,2.6140566821845512,369.94740796393694,benchmark-results/rust-alloc-paper-evaluation-20260714.json#live_results.rsedis_current_head
Rsedis,rsedis_thp_mechanism_matrix,THP mechanism matrix,mimalloc_thp_default,mimalloc - THP allowed,1,5,throughput,63305.7071658661,requests_per_second,higher_is_better,mimalloc_thp_default,0.0,0.0,mimalloc_thp_default,0.0,0.0,68.49609375,63162.063785429775,68.390625,0.0,0.0,0.0,0.0,benchmark-results/allocator-feature-thp-evaluation-20260714.json#campaigns.rsedis_thp_matrix
Rsedis,rsedis_thp_mechanism_matrix,THP mechanism matrix,mimalloc_thp_default,mimalloc - THP allowed,2,5,throughput,63074.36834521518,requests_per_second,higher_is_better,mimalloc_thp_default,0.0,0.0,mimalloc_thp_default,0.0,0.0,68.2734375,63162.063785429775,68.390625,0.0,0.0,0.0,0.0,benchmark-results/allocator-feature-thp-evaluation-20260714.json#campaigns.rsedis_thp_matrix
Rsedis,rsedis_thp_mechanism_matrix,THP mechanism matrix,mimalloc_thp_default,mimalloc - THP allowed,3,5,throughput,63162.063785429775,requests_per_second,higher_is_better,mimalloc_thp_default,0.0,0.0,mimalloc_thp_default,0.0,0.0,68.3671875,63162.063785429775,68.390625,0.0,0.0,0.0,0.0,benchmark-results/allocator-feature-thp-evaluation-20260714.json#campaigns.rsedis_thp_matrix
Rsedis,rsedis_thp_mechanism_matrix,THP mechanism matrix,mimalloc_thp_default,mimalloc - THP allowed,4,5,throughput,63171.55618433434,requests_per_second,higher_is_better,mimalloc_thp_default,0.0,0.0,mimalloc_thp_default,0.0,0.0,68.390625,63162.063785429775,68.390625,0.0,0.0,0.0,0.0,benchmark-results/allocator-feature-thp-evaluation-20260714.json#campaigns.rsedis_thp_matrix
