cohort,metric,comparison,comparison_label,aggregation_level,unit_id,family,eligible_for_headline,diagnostic_only,reference_median,subject_median,ratio,observation_count,note
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_100_and_clear,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_100_and_drain_all,btree,True,False,2481.94,2389.66,0.9628194073990507,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_100_and_drain_all,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_100_and_drain_half,btree,True,False,1261.77,1212.02,0.960571261006364,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_100_and_drain_half,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_100_and_into_iter,btree,True,False,428.46,408.28,0.9529010876161135,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_100_and_into_iter,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_100_and_pop_all,btree,True,False,1989.93,1924.36,0.9670490921791218,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_100_and_pop_all,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_100_and_remove_all,btree,True,False,2062.73,1998.62,0.9689198295462809,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_100_and_remove_all,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_100_and_remove_half,btree,True,False,1055.24,970.9,0.920075054016148,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_100_and_remove_half,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_10k,btree,True,False,43023.18,42515.6,0.9882021738049116,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_10k,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_10k_and_clear,btree,True,False,44745.03,42069.68,0.9402090019830136,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_10k_and_clear,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_10k_and_drain_all,btree,True,False,261584.07,270113.07,1.0326051964861622,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_10k_and_drain_all,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_10k_and_drain_half,btree,True,False,120997.97,123675.69,1.022130288632115,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_10k_and_drain_half,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_10k_and_into_iter,btree,True,False,42491.87,43481.05,1.023279276718111,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_10k_and_into_iter,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_10k_and_pop_all,btree,True,False,218351.96,222134.87,1.017324827310916,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_10k_and_pop_all,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_10k_and_remove_all,btree,True,False,247933.53,244227.47,0.9850522033062652,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_10k_and_remove_all,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_10k_and_remove_half,btree,True,False,152909.49,154019.44,1.0072588692827371,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::clone_slim_10k_and_remove_half,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::find_rand_100,btree,False,True,6.63,6.65,1.0030165912518854,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::find_rand_100,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::find_rand_10_000,btree,False,True,47.22,47.22,1.0,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::find_rand_10_000,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::find_seq_100,btree,False,True,7.09,6.63,0.9351198871650211,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::find_seq_100,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::find_seq_10_000,btree,False,True,27.18,26.12,0.961000735835173,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::find_seq_10_000,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::first_and_last_0_nightly,btree,False,True,2.94,2.87,0.9761904761904763,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::first_and_last_0_nightly,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::first_and_last_0_stable,btree,False,True,2.88,2.89,1.0034722222222223,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::first_and_last_0_stable,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::first_and_last_100_nightly,btree,False,True,17.53,17.5,0.9982886480319452,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::first_and_last_100_nightly,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::first_and_last_100_stable,btree,False,True,23.1,23.9,1.0346320346320346,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::first_and_last_100_stable,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::first_and_last_10k_nightly,btree,False,True,27.04,26.81,0.9914940828402367,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::first_and_last_10k_nightly,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::first_and_last_10k_stable,btree,False,True,29.81,38.63,1.2958738678295876,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::first_and_last_10k_stable,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::from_iter_rand_100,btree,True,False,845.14,772.89,0.9145112052441016,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::from_iter_rand_100,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::from_iter_rand_10_000,btree,True,False,125142.1,153542.07,1.2269417725929164,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::from_iter_rand_10_000,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::from_iter_seq_100,btree,True,False,476.53,464.66,0.9750907602879149,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::from_iter_seq_100,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::from_iter_seq_10_000,btree,True,False,44550.42,125322.18,2.8130414932115118,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::from_iter_seq_10_000,btree,True,True,4096.0,3072.0,0.75,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::insert_rand_100,btree,False,True,10.71,11.67,1.0896358543417366,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::insert_rand_100,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::insert_rand_10_000,btree,False,True,11.67,11.37,0.974293059125964,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::insert_rand_10_000,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::insert_seq_100,btree,False,True,24.89,25.38,1.0196866211329851,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::insert_seq_100,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::insert_seq_10_000,btree,False,True,74.97,76.28,1.0174736561291184,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::insert_seq_10_000,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::iter_0,btree,False,True,0.27,0.27,1.0,3,timer-floor benchmark case excluded from the performance aggregate
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::iter_0,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::iter_1,btree,True,False,2663.04,2921.57,1.0970807798606106,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::iter_1,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::iter_100,btree,True,False,134249.56,109871.53,0.8184125892107207,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::iter_100,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::iter_10k,btree,True,False,13370841.0,10736318.5,0.8029650864893241,3,
