label,max_resident_change_pct,max_resident_ci_high_pct,max_resident_ci_low_pct,max_resident_conclusion,mechanism,speedup_ci_high_pct,speedup_ci_low_pct,speedup_conclusion,speedup_pct
UniAlloc selective THP,0.33429576289283336,0.3578655426423316,0.30942417511660775,regressed,selective-thp,14.0539495037317,6.719364075301046,improved,10.371285818743637
mimalloc global THP,0.8419203935591035,0.8421860252623814,0.8416183120534249,regressed,process-wide-thp,9.726468814299675,3.7539644419753744,improved,7.415149881593197
jemalloc allocator THP,0.7889923085661499,0.9031845371769559,0.6587130621150356,regressed,allocator-wide-thp,8.318768799705431,-0.7009096959715172,inconclusive,4.509060604876791
gperftools HugeTLB,0.5499521270821539,0.7005176216354086,0.41824275221612195,regressed,explicit-hugetlb,37.908109117372334,36.022824405799945,improved,36.99719235814429
snmalloc OS eligibility,-0.00026163788607869165,0.002242772414416394,-0.002803368554065433,practically-equivalent,os-eligibility,-0.009614319893474993,-3.3079850104057145,regressed,-1.5300671446998093
