variant,allocator,feature,allocator_label,benchmark,robustness_selected,sample_index,measured_round,sample_ns_per_iter,cell_median_ns_per_iter,cell_mad_ns_per_iter,cell_min_ns_per_iter,cell_max_ns_per_iter,cell_median_ratio_vs_unialloc,aggregate_geomean_median_ratio_vs_unialloc,robust_geomean_median_ratio_vs_unialloc
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,btree::map::from_iter_rand_10_000,true,2,2,155476.72,151798.13,81.130000000004657,151717,155476.72,1.1765092540413165,0.81232787988481392,0.81232787988481392
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,btree::map::from_iter_rand_10_000,true,3,3,151717,151798.13,81.130000000004657,151717,155476.72,1.1765092540413165,0.81232787988481392,0.81232787988481392
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,btree::map::from_iter_rand_10_000,true,1,1,128480,127954.23,525.77000000000407,127328.67,128480,0.99170744520193388,0.81557727656763457,0.81557727656763457
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,btree::map::from_iter_rand_10_000,true,2,2,127954.23,127954.23,525.77000000000407,127328.67,128480,0.99170744520193388,0.81557727656763457,0.81557727656763457
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,btree::map::from_iter_rand_10_000,true,3,3,127328.67,127954.23,525.77000000000407,127328.67,128480,0.99170744520193388,0.81557727656763457,0.81557727656763457
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,btree::map::from_iter_rand_10_000,true,1,1,119635.11,120305.89,525.55000000000291,119635.11,120831.44,0.93242909448671518,0.77215917526012701,0.77215917526012701
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,btree::map::from_iter_rand_10_000,true,2,2,120305.89,120305.89,525.55000000000291,119635.11,120831.44,0.93242909448671518,0.77215917526012701,0.77215917526012701
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,btree::map::from_iter_rand_10_000,true,3,3,120831.44,120305.89,525.55000000000291,119635.11,120831.44,0.93242909448671518,0.77215917526012701,0.77215917526012701
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,btree::map::from_iter_rand_10_000,true,1,1,122100.53,122100.53,21.5,119408.42999999999,122122.03,0.94633842635841026,0.76406462127847108,0.76406462127847108
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,btree::map::from_iter_rand_10_000,true,2,2,119408.42999999999,122100.53,21.5,119408.42999999999,122122.03,0.94633842635841026,0.76406462127847108,0.76406462127847108
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,btree::map::from_iter_rand_10_000,true,3,3,122122.03,122100.53,21.5,119408.42999999999,122122.03,0.94633842635841026,0.76406462127847108,0.76406462127847108
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,btree::map::from_iter_rand_10_000,true,1,1,120142.87,119227.47,551.80000000000291,118675.67,120142.87,0.92407081556889692,0.79324362672494542,0.79324362672494542
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,btree::map::from_iter_rand_10_000,true,2,2,118675.67,119227.47,551.80000000000291,118675.67,120142.87,0.92407081556889692,0.79324362672494542,0.79324362672494542
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,btree::map::from_iter_rand_10_000,true,3,3,119227.47,119227.47,551.80000000000291,118675.67,120142.87,0.92407081556889692,0.79324362672494542,0.79324362672494542
bench_scudo,scudo,bench_scudo,Scudo,btree::map::from_iter_rand_10_000,true,1,1,141397.16,141397.16,843.29000000000815,139209.54999999999,142240.45000000001,1.0958966835438664,0.89677931758908924,0.89677931758908924
bench_scudo,scudo,bench_scudo,Scudo,btree::map::from_iter_rand_10_000,true,2,2,139209.54999999999,141397.16,843.29000000000815,139209.54999999999,142240.45000000001,1.0958966835438664,0.89677931758908924,0.89677931758908924
bench_scudo,scudo,bench_scudo,Scudo,btree::map::from_iter_rand_10_000,true,3,3,142240.45000000001,141397.16,843.29000000000815,139209.54999999999,142240.45000000001,1.0958966835438664,0.89677931758908924,0.89677931758908924
bench_ourself,unialloc,bench_ourself,UniAlloc,btree::set::clone_10k_and_remove_half,true,1,1,126015.14,122480.78999999999,717.75999999999476,121763.03,126015.14,1,1,1
bench_ourself,unialloc,bench_ourself,UniAlloc,btree::set::clone_10k_and_remove_half,true,2,2,122480.78999999999,122480.78999999999,717.75999999999476,121763.03,126015.14,1,1,1
bench_ourself,unialloc,bench_ourself,UniAlloc,btree::set::clone_10k_and_remove_half,true,3,3,121763.03,122480.78999999999,717.75999999999476,121763.03,126015.14,1,1,1
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,btree::set::clone_10k_and_remove_half,true,1,1,121172.34,119923.28999999999,675.20999999999185,119248.08,121172.34,0.97911917452524599,0.81232787988481392,0.81232787988481392
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,btree::set::clone_10k_and_remove_half,true,2,2,119923.28999999999,119923.28999999999,675.20999999999185,119248.08,121172.34,0.97911917452524599,0.81232787988481392,0.81232787988481392
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,btree::set::clone_10k_and_remove_half,true,3,3,119248.08,119923.28999999999,675.20999999999185,119248.08,121172.34,0.97911917452524599,0.81232787988481392,0.81232787988481392
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,btree::set::clone_10k_and_remove_half,true,1,1,138772.42999999999,138188.57000000001,583.85999999998603,133498.23999999999,138772.42999999999,1.1282468867158679,0.81557727656763457,0.81557727656763457
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,btree::set::clone_10k_and_remove_half,true,2,2,138188.57000000001,138188.57000000001,583.85999999998603,133498.23999999999,138772.42999999999,1.1282468867158679,0.81557727656763457,0.81557727656763457
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,btree::set::clone_10k_and_remove_half,true,3,3,133498.23999999999,138188.57000000001,583.85999999998603,133498.23999999999,138772.42999999999,1.1282468867158679,0.81557727656763457,0.81557727656763457
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,btree::set::clone_10k_and_remove_half,true,1,1,116413.73,116413.73,466.77999999999884,115946.95,117150.8,0.95046521172830456,0.77215917526012701,0.77215917526012701
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,btree::set::clone_10k_and_remove_half,true,2,2,115946.95,116413.73,466.77999999999884,115946.95,117150.8,0.95046521172830456,0.77215917526012701,0.77215917526012701
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,btree::set::clone_10k_and_remove_half,true,3,3,117150.8,116413.73,466.77999999999884,115946.95,117150.8,0.95046521172830456,0.77215917526012701,0.77215917526012701
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,btree::set::clone_10k_and_remove_half,true,1,1,118073.38,120292.21000000001,1123.7299999999959,118073.38,121415.94,0.98213123870282037,0.76406462127847108,0.76406462127847108
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,btree::set::clone_10k_and_remove_half,true,2,2,121415.94,120292.21000000001,1123.7299999999959,118073.38,121415.94,0.98213123870282037,0.76406462127847108,0.76406462127847108
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,btree::set::clone_10k_and_remove_half,true,3,3,120292.21000000001,120292.21000000001,1123.7299999999959,118073.38,121415.94,0.98213123870282037,0.76406462127847108,0.76406462127847108
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,btree::set::clone_10k_and_remove_half,true,1,1,132642.13,129703.28999999999,1708.5199999999895,127994.77,132642.13,1.0589684308861822,0.79324362672494542,0.79324362672494542
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,btree::set::clone_10k_and_remove_half,true,2,2,127994.77,129703.28999999999,1708.5199999999895,127994.77,132642.13,1.0589684308861822,0.79324362672494542,0.79324362672494542
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,btree::set::clone_10k_and_remove_half,true,3,3,129703.28999999999,129703.28999999999,1708.5199999999895,127994.77,132642.13,1.0589684308861822,0.79324362672494542,0.79324362672494542
bench_scudo,scudo,bench_scudo,Scudo,btree::set::clone_10k_and_remove_half,true,1,1,187895.35999999999,187076.42999999999,818.92999999999302,181204.45999999999,187895.35999999999,1.5273940509364774,0.89677931758908924,0.89677931758908924
bench_scudo,scudo,bench_scudo,Scudo,btree::set::clone_10k_and_remove_half,true,2,2,187076.42999999999,187076.42999999999,818.92999999999302,181204.45999999999,187895.35999999999,1.5273940509364774,0.89677931758908924,0.89677931758908924
bench_scudo,scudo,bench_scudo,Scudo,btree::set::clone_10k_and_remove_half,true,3,3,181204.45999999999,187076.42999999999,818.92999999999302,181204.45999999999,187895.35999999999,1.5273940509364774,0.89677931758908924,0.89677931758908924
bench_ourself,unialloc,bench_ourself,UniAlloc,slice::random_inserts,true,1,1,1886.1199999999999,1726.0999999999999,12.459999999999809,1713.6400000000001,1886.1199999999999,1,1,1
bench_ourself,unialloc,bench_ourself,UniAlloc,slice::random_inserts,true,2,2,1713.6400000000001,1726.0999999999999,12.459999999999809,1713.6400000000001,1886.1199999999999,1,1,1
bench_ourself,unialloc,bench_ourself,UniAlloc,slice::random_inserts,true,3,3,1726.0999999999999,1726.0999999999999,12.459999999999809,1713.6400000000001,1886.1199999999999,1,1,1
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,slice::random_inserts,true,1,1,1690.5899999999999,1693.48,2.8900000000001,1690.5899999999999,1750.3,0.98110190603093683,0.81232787988481392,0.81232787988481392
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,slice::random_inserts,true,2,2,1693.48,1693.48,2.8900000000001,1690.5899999999999,1750.3,0.98110190603093683,0.81232787988481392,0.81232787988481392
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,slice::random_inserts,true,3,3,1750.3,1693.48,2.8900000000001,1690.5899999999999,1750.3,0.98110190603093683,0.81232787988481392,0.81232787988481392
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,slice::random_inserts,true,1,1,1786.25,1762.29,23.960000000000036,1737.52,1786.25,1.0209663403047333,0.81557727656763457,0.81557727656763457
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,slice::random_inserts,true,2,2,1737.52,1762.29,23.960000000000036,1737.52,1786.25,1.0209663403047333,0.81557727656763457,0.81557727656763457
bench_jemalloc,jemalloc,bench_jemalloc,jemalloc,slice::random_inserts,true,3,3,1762.29,1762.29,23.960000000000036,1737.52,1786.25,1.0209663403047333,0.81557727656763457,0.81557727656763457
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,slice::random_inserts,true,1,1,1738.3399999999999,1696.5,0.76999999999998181,1695.73,1738.3399999999999,0.98285151497595746,0.77215917526012701,0.77215917526012701
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,slice::random_inserts,true,2,2,1696.5,1696.5,0.76999999999998181,1695.73,1738.3399999999999,0.98285151497595746,0.77215917526012701,0.77215917526012701
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,slice::random_inserts,true,3,3,1695.73,1696.5,0.76999999999998181,1695.73,1738.3399999999999,0.98285151497595746,0.77215917526012701,0.77215917526012701
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,slice::random_inserts,true,1,1,1900.5599999999999,1668.22,20.700000000000045,1647.52,1900.5599999999999,0.9664677596894734,0.76406462127847108,0.76406462127847108
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,slice::random_inserts,true,2,2,1647.52,1668.22,20.700000000000045,1647.52,1900.5599999999999,0.9664677596894734,0.76406462127847108,0.76406462127847108
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,slice::random_inserts,true,3,3,1668.22,1668.22,20.700000000000045,1647.52,1900.5599999999999,0.9664677596894734,0.76406462127847108,0.76406462127847108
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,slice::random_inserts,true,1,1,1677.28,1677.28,10.25,1667.03,1716.28,0.97171658652453508,0.79324362672494542,0.79324362672494542
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,slice::random_inserts,true,2,2,1667.03,1677.28,10.25,1667.03,1716.28,0.97171658652453508,0.79324362672494542,0.79324362672494542
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,slice::random_inserts,true,3,3,1716.28,1677.28,10.25,1667.03,1716.28,0.97171658652453508,0.79324362672494542,0.79324362672494542
bench_scudo,scudo,bench_scudo,Scudo,slice::random_inserts,true,1,1,1837.1600000000001,1822.4300000000001,14.730000000000018,1805.3699999999999,1837.1600000000001,1.055807890620474,0.89677931758908924,0.89677931758908924
bench_scudo,scudo,bench_scudo,Scudo,slice::random_inserts,true,2,2,1822.4300000000001,1822.4300000000001,14.730000000000018,1805.3699999999999,1837.1600000000001,1.055807890620474,0.89677931758908924,0.89677931758908924
bench_scudo,scudo,bench_scudo,Scudo,slice::random_inserts,true,3,3,1805.3699999999999,1822.4300000000001,14.730000000000018,1805.3699999999999,1837.1600000000001,1.055807890620474,0.89677931758908924,0.89677931758908924
